country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
BG,28,Not Recorded,,,,,
CH,28,Not Recorded,,,,,
ES,28,Not Recorded,,,,,
HU,28,Not Recorded,,,,,
FR,27.6433121,Not Recorded,,,,,
IE,292,292,,,,,
CH,27.45,Not Recorded,,,,,
FR,27.05095541,Not Recorded,,,,,
CZ,27.04294606,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,27,Not Recorded,,,,,
SE,30,Not Recorded,,,,,
DE,27,Not Recorded,,,,,
DE,1060,1060,,,,,
SE,27,Not Recorded,,,,,
IT,27,Not Recorded,,,,,
IT,27,Not Recorded,,,,,
CH,27,Not Recorded,,,,,
ES,27,Not Recorded,,,,,
FI,27,Not Recorded,,,,,
FI,27,Not Recorded,,,,,
DE,26.56,Not Recorded,,,,,
CH,26.44,Not Recorded,,,,,
CH,26.4,Not Recorded,,,,,
CH,340,Not Recorded,,,,,
FR,26.36687241,Not Recorded,,,,,
SK,26.32,Not Recorded,,,,,
SI,26.19,Not Recorded,,,,,
AT,26,Not Recorded,,,,,
SE,27,Not Recorded,,,,,
SE,27,Not Recorded,,,,,
DE,26,Not Recorded,,,,,
PT,630,630,,,,,
CH,26,Not Recorded,,,,,
CH,26,Not Recorded,,,,,
CH,26,Not Recorded,,,,,
IT,26,Not Recorded,,,,,
IT,26,Not Recorded,,,,,
DE,26,Not Recorded,,,,,
AT,26,Not Recorded,,,,,
RO,335,Not Recorded,,,,,
CH,26,Not Recorded,,,,,
RO,26,Not Recorded,,,,,
PT,514,Not Recorded,,,,,
SK,25.7,Not Recorded,,,,,
CH,25.7,Not Recorded,,,,,
PL,26,Not Recorded,,,,,
SK,25.5,Not Recorded,,,,,
SK,25.5,Not Recorded,,,,,
EL,384,384,,,,,
SE,26,Not Recorded,,,,,
ES,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
SE,26,Not Recorded,,,,,
SI,25,Not Recorded,,,,,
DE,25,Not Recorded,,,,,
DE,25,Not Recorded,,,,,
CH,25,Not Recorded,,,,,
DE,25,Not Recorded,,,,,
DE,25,Not Recorded,,,,,
SE,26,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
SE,330,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
AT,25,Not Recorded,,,,,
UK,25,Not Recorded,,,,,
AL,24,Not Recorded,,,,,
CH,25,Not Recorded,,,,,
FI,25,Not Recorded,,,,,
SE,330,Not Recorded,,,,,
FI,25,Not Recorded,,,,,
FI,25,Not Recorded,,,,,
PT,440,Not Recorded,,,,,
CH,24.87,Not Recorded,,,,,
SK,24.75,Not Recorded,,,,,
FR,24.68152866,Not Recorded,,,,,
FR,24.68152866,Not Recorded,,,,,
AL,24.4,Not Recorded,,,,,
AL,16,Not Recorded,,,,,
AL,24.26,Not Recorded,,,,,
BG,24.2,Not Recorded,,,,,
DE,24.1,Not Recorded,,,,,
HR,24,Not Recorded,,,,,
AT,24,Not Recorded,,,,,
DE,24,Not Recorded,,,,,
AT,24,Not Recorded,,,,,
SE,25.14110477,Not Recorded,,,,,
IT,24,Not Recorded,,,,,
IT,24,Not Recorded,,,,,
AT,328,Not Recorded,,,,,
IT,24,Not Recorded,,,,,
AT,24,Not Recorded,,,,,
SK,24,Not Recorded,,,,,
UK,24,Not Recorded,,,,,
UK,24,Not Recorded,,,,,
CH,24,Not Recorded,,,,,
PT,431,Not Recorded,,,,,
DE,1045.2,1050,,,,,
IT,146,Not Recorded,,,,,
FI,24,Not Recorded,,,,,
FR,23.99044586,Not Recorded,,,,,
CH,23.9,Not Recorded,,,,,
CH,23.87,Not Recorded,,,,,
