country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
SE,8,Not Recorded,,,,,
CH,7.3,Not Recorded,,,,,
CH,7.2,Not Recorded,,,,,
CH,7.2,Not Recorded,,,,,
PL,7.108280255,Not Recorded,,,,,
ES,7.1,Not Recorded,,,,,
AT,280,224,,,,,
EL,154,Not Recorded,,,,,
AT,7,Not Recorded,,,,,
CH,7,Not Recorded,,,,,
HR,237,Not Recorded,,,,,
CH,7,Not Recorded,,,,,
AT,7,Not Recorded,,,,,
IT,7,Not Recorded,,,,,
IT,7,Not Recorded,,,,,
IT,7,Not Recorded,,,,,
IT,7,Not Recorded,,,,,
IT,7,Not Recorded,,,,,
RS,7,Not Recorded,,,,,
UK,7,Not Recorded,,,,,
BG,7,Not Recorded,,,,,
FI,7,Not Recorded,,,,,
CH,6.9,Not Recorded,,,,,
BE,6.693129151,Not Recorded,,,,,
PL,6.625521786,Not Recorded,,,,,
CH,6.62,Not Recorded,,,,,
CH,6.6,Not Recorded,,,,,
CH,6.6,Not Recorded,,,,,
CH,6.5,Not Recorded,,,,,
CH,6.48,Not Recorded,,,,,
FR,6.219745223,Not Recorded,,,,,
ES,233,Not Recorded,,,,,
CH,6.1,Not Recorded,,,,,
CH,6.1,Not Recorded,,,,,
BE,6.084662865,Not Recorded,,,,,
AT,9,Not Recorded,,,,,
CH,6.02,Not Recorded,,,,,
ES,6,Not Recorded,,,,,
AT,6,Not Recorded,,,,,
AT,6,Not Recorded,,,,,
AT,6,Not Recorded,,,,,
AT,6,Not Recorded,,,,,
AT,6,Not Recorded,,,,,
RS,6,Not Recorded,,,,,
UK,6,Not Recorded,,,,,
UK,6,Not Recorded,,,,,
AT,231,Not Recorded,,,,,
AL,5.9,Not Recorded,,,,,
CH,5.885,Not Recorded,,,,,
CH,5.86,Not Recorded,,,,,
EL,150,Not Recorded,,,,,
CH,5.774,Not Recorded,,,,,
CH,5.77,Not Recorded,,,,,
SK,5.75,Not Recorded,,,,,
CH,5.7,Not Recorded,,,,,
HR,5.7,Not Recorded,,,,,
CH,5.6,Not Recorded,,,,,
IT,244.2,Not Recorded,,,,,
CH,5.6,Not Recorded,,,,,
HR,5.5,Not Recorded,,,,,
BE,5.476196578,Not Recorded,,,,,
SE,7.302376205,Not Recorded,,,,,
PL,5.408589213,Not Recorded,,,,,
CH,247,Not Recorded,,,,,
CH,5.4,Not Recorded,,,,,
CH,5.4,Not Recorded,,,,,
ME,5.36,Not Recorded,,,,,
CH,5.27,Not Recorded,,,,,
CH,5.2,Not Recorded,,,,,
CH,5.2,Not Recorded,,,,,
IT,229.9,Not Recorded,,,,,
CH,5.1,Not Recorded,,,,,
CH,5.1,Not Recorded,,,,,
CH,5.01,Not Recorded,,,,,
CH,5,Not Recorded,,,,,
CH,5,Not Recorded,,,,,
UK,1800,1728,,,,,
FR,910,840,,,,,
CH,5,Not Recorded,,,,,
AT,5,Not Recorded,,,,,
IT,5,Not Recorded,,,,,
IT,5,Not Recorded,,,,,
DE,6,Not Recorded,,,,,
AT,5,Not Recorded,,,,,
AT,5,Not Recorded,,,,,
AT,5,Not Recorded,,,,,
UK,5,Not Recorded,,,,,
ES,225,Not Recorded,,,,,
ES,5,Not Recorded,,,,,
AT,4.9,Not Recorded,,,,,
SE,250,Not Recorded,,,,,
HR,4.867730292,Not Recorded,,,,,
CH,4.86,Not Recorded,,,,,
CH,4.8,Not Recorded,,,,,
EL,130,Not Recorded,,,,,
CH,4.7,Not Recorded,,,,,
AL,4.7,Not Recorded,,,,,
SE,5.45,Not Recorded,,,,,
FR,223,Not Recorded,,,,,
SE,4.624838263,Not Recorded,,,,,
CH,4.6,Not Recorded,,,,,
CH,4.5,Not Recorded,,,,,
CH,4.5,Not Recorded,,,,,
CH,4.4,Not Recorded,,,,,
CH,4.4,Not Recorded,,,,,
CH,4.4,Not Recorded,,,,,
RO,221,Not Recorded,,,,,
CH,4.38,Not Recorded,,,,,
CH,4.3,Not Recorded,,,,,
CH,4.25,Not Recorded,,,,,
CH,4.23,Not Recorded,,,,,
CH,4.2,Not Recorded,,,,,
ES,4,Not Recorded,,,,,
ES,221,219,,,,,
CH,220.76,Not Recorded,,,,,
AT,4,Not Recorded,,,,,
UK,4,Not Recorded,,,,,
UK,4,Not Recorded,,,,,
FI,20,Not Recorded,,,,,
CH,3.9,Not Recorded,,,,,
CH,3.9,Not Recorded,,,,,
DE,220,Not Recorded,,,,,
CH,3.75,Not Recorded,,,,,
CH,3.68,Not Recorded,,,,,
CH,3.64,Not Recorded,,,,,
AL,3.626,Not Recorded,,,,,
CH,3.6,Not Recorded,,,,,
CH,3.56,Not Recorded,,,,,
CH,3.5,Not Recorded,,,,,
UK,3.5,Not Recorded,,,,,
BG,3.5,Not Recorded,,,,,
DE,220,128,,,,,
CH,3.4,Not Recorded,,,,,
BE,3.380368258,Not Recorded,,,,,
AT,3.380368258,Not Recorded,,,,,
ES,3.34,Not Recorded,,,,,
CH,3.31,Not Recorded,,,,,
CH,3.3,Not Recorded,,,,,
DE,3.3,Not Recorded,,,,,
CH,3.3,Not Recorded,,,,,
DE,910,980,,,,,
IT,172.8,Not Recorded,,,,,
SK,6.1,Not Recorded,,,,,
CH,3.26,Not Recorded,,,,,
CH,3.13,Not Recorded,,,,,
SE,4.6,Not Recorded,,,,,
CH,3.1,Not Recorded,,,,,
CH,3.07,Not Recorded,,,,,
AT,3,Not Recorded,,,,,
SE,3.129589802,Not Recorded,,,,,
CH,3,Not Recorded,,,,,
AT,3,Not Recorded,,,,,
CZ,3,Not Recorded,,,,,
UK,3,Not Recorded,,,,,
UK,3,Not Recorded,,,,,
RO,220,Not Recorded,,,,,
AL,3,Not Recorded,,,,,
HU,4.4,Not Recorded,,,,,
ME,2.961,Not Recorded,,,,,
CH,2.94,Not Recorded,,,,,
CH,2.9,Not Recorded,,,,,
CH,2.9,Not Recorded,,,,,
CH,2.875,Not Recorded,,,,,
CH,2.85,Not Recorded,,,,,
CH,2.8,Not Recorded,,,,,
CH,2.8,Not Recorded,,,,,
CH,2.8,Not Recorded,,,,,
HR,217,Not Recorded,,,,,
CH,2.77,Not Recorded,,,,,
CH,2.75,Not Recorded,,,,,
CH,2.65,Not Recorded,,,,,
CH,2.62,Not Recorded,,,,,
CH,2.6,Not Recorded,,,,,
CH,2.555,Not Recorded,,,,,
CH,2.5,Not Recorded,,,,,
UK,2.5,Not Recorded,,,,,
CH,2.487,Not Recorded,,,,,
RO,216,Not Recorded,,,,,
CH,2.474,Not Recorded,,,,,
CH,2.4,Not Recorded,,,,,
SK,2.4,Not Recorded,,,,,
UK,2.4,Not Recorded,,,,,
UK,2.4,Not Recorded,,,,,
PL,2.366257781,Not Recorded,,,,,
CH,2.35,Not Recorded,,,,,
CH,2.35,Not Recorded,,,,,
HR,216,Not Recorded,,,,,
CH,2.32,Not Recorded,,,,,
CH,2.3,Not Recorded,,,,,
CH,2.22,Not Recorded,,,,,
UK,2.2,Not Recorded,,,,,
CH,2.19,Not Recorded,,,,,
CH,2.17,Not Recorded,,,,,
AL,2.17,Not Recorded,,,,,
CH,2.15,Not Recorded,,,,,
CH,2.13,Not Recorded,,,,,
ES,215.81,Not Recorded,,,,,
CH,2.1,Not Recorded,,,,,
CH,2.03,Not Recorded,,,,,
PT,189,189,,,,,
AT,2,Not Recorded,,,,,
AT,2,Not Recorded,,,,,
AT,2,Not Recorded,,,,,
CH,2,Not Recorded,,,,,
AT,2,Not Recorded,,,,,
UK,2,Not Recorded,,,,,
LT,900,880,,,,,
CH,106,Not Recorded,,,,,
FR,214,Not Recorded,,,,,
AL,2,Not Recorded,,,,,
CH,1.93,Not Recorded,,,,,
CH,1.9,Not Recorded,,,,,
CH,1.9,Not Recorded,,,,,
CH,1.9,Not Recorded,,,,,
SE,225,Not Recorded,,,,,
CH,1.9,Not Recorded,,,,,
CH,1.9,Not Recorded,,,,,
AL,1.9,Not Recorded,,,,,
CH,1.88,Not Recorded,,,,,
BE,1.875796178,Not Recorded,,,,,
CH,1.8,Not Recorded,,,,,
CH,1.8,Not Recorded,,,,,
BE,1.777070064,Not Recorded,,,,,
CH,1.73,Not Recorded,,,,,
CH,1.7,Not Recorded,,,,,
CH,1.7,Not Recorded,,,,,
CH,1.68,Not Recorded,,,,,
CH,1.67,Not Recorded,,,,,
CH,1.65,Not Recorded,,,,,
CH,1.65,Not Recorded,,,,,
CH,1.63,Not Recorded,,,,,
CH,1.62,Not Recorded,,,,,
CH,1.6,Not Recorded,,,,,
CH,1.59,Not Recorded,,,,,
IT,213.5,Not Recorded,,,,,
CH,1.565,Not Recorded,,,,,
CH,1.56,Not Recorded,,,,,
CH,1.54,Not Recorded,,,,,
CH,1.5,Not Recorded,,,,,
CH,1.5,Not Recorded,,,,,
CH,1.5,Not Recorded,,,,,
AT,1.5,Not Recorded,,,,,
CH,1.483,Not Recorded,,,,,
CH,1.48,Not Recorded,,,,,
CH,1.47,Not Recorded,,,,,
AT,210,Not Recorded,,,,,
CH,1.47,Not Recorded,,,,,
CH,1.45,Not Recorded,,,,,
CH,1.442,Not Recorded,,,,,
CH,1.44,Not Recorded,,,,,
CH,1.44,Not Recorded,,,,,
CH,1.43,Not Recorded,,,,,
CH,1.42,Not Recorded,,,,,
CH,1.4,Not Recorded,,,,,
AL,1.4,Not Recorded,,,,,
CH,1.387,Not Recorded,,,,,
IT,240,210,,,,,
CH,1.37,Not Recorded,,,,,
CH,1.37,Not Recorded,,,,,
CH,1.33,Not Recorded,,,,,
CH,1.27,Not Recorded,,,,,
CH,1.27,Not Recorded,,,,,
CH,1.27,Not Recorded,,,,,
CH,1.26,Not Recorded,,,,,
CH,1.25,Not Recorded,,,,,
CH,1.25,Not Recorded,,,,,
CH,1.22,Not Recorded,,,,,
SE,214,Not Recorded,,,,,
CH,1.2,Not Recorded,,,,,
CH,1.2,Not Recorded,,,,,
CH,1.2,Not Recorded,,,,,
CH,1.19,Not Recorded,,,,,
CH,1.18,Not Recorded,,,,,
CH,1.18,Not Recorded,,,,,
CH,1.16,Not Recorded,,,,,
SI,2.26,Not Recorded,,,,,
CH,1.13,Not Recorded,,,,,
CH,1.09,Not Recorded,,,,,
FR,210,Not Recorded,,,,,
CH,1.07,Not Recorded,,,,,
CH,1.07,Not Recorded,,,,,
CH,1.06,Not Recorded,,,,,
CH,1.05,Not Recorded,,,,,
CH,1.02,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
BA,210,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
CH,1,Not Recorded,,,,,
CH,1,Not Recorded,,,,,
CH,900,900,,,,,
RO,208.4,Not Recorded,,,,,
CH,1,Not Recorded,,,,,
CH,1,Not Recorded,,,,,
AT,1,Not Recorded,,,,,
RS,208,Not Recorded,,,,,
IE,1,Not Recorded,,,,,
CH,0.991,Not Recorded,,,,,
ES,207,225,,,,,
CH,0.99,Not Recorded,,,,,
CH,0.99,Not Recorded,,,,,
CH,0.98,Not Recorded,,,,,
CH,0.98,Not Recorded,,,,,
CH,0.98,Not Recorded,,,,,
CH,0.98,Not Recorded,,,,,
CH,0.98,Not Recorded,,,,,
CH,0.97,Not Recorded,,,,,
CH,0.96,Not Recorded,,,,,
CH,0.95,Not Recorded,,,,,
SE,210,Not Recorded,,,,,
CH,0.94,Not Recorded,,,,,
CH,0.93,Not Recorded,,,,,
CH,0.93,Not Recorded,,,,,
CH,0.93,Not Recorded,,,,,
CH,0.93,Not Recorded,,,,,
CH,0.92,Not Recorded,,,,,
CH,0.92,Not Recorded,,,,,
CH,0.92,Not Recorded,,,,,
CH,0.92,Not Recorded,,,,,
CH,0.9,Not Recorded,,,,,
CH,0.9,Not Recorded,,,,,
CH,0.9,Not Recorded,,,,,
CH,0.9,Not Recorded,,,,,
CH,0.9,Not Recorded,,,,,
CH,0.89,Not Recorded,,,,,
CH,0.88,Not Recorded,,,,,
CH,0.87,Not Recorded,,,,,
CH,0.86,Not Recorded,,,,,
CH,0.85,Not Recorded,,,,,
CH,0.84,Not Recorded,,,,,
CH,0.84,Not Recorded,,,,,
CH,0.83,Not Recorded,,,,,
CH,0.82,Not Recorded,,,,,
CH,0.82,Not Recorded,,,,,
CH,0.8,Not Recorded,,,,,
CH,0.8,Not Recorded,,,,,
CH,0.79,Not Recorded,,,,,
SI,0.775,Not Recorded,,,,,
CH,0.77,Not Recorded,,,,,
CH,0.75,Not Recorded,,,,,
CH,205,Not Recorded,,,,,
CH,0.75,Not Recorded,,,,,
CH,0.74,Not Recorded,,,,,
CH,0.73,Not Recorded,,,,,
CH,0.72,Not Recorded,,,,,
CH,0.72,Not Recorded,,,,,
CH,0.72,Not Recorded,,,,,
CH,0.72,Not Recorded,,,,,
CH,0.71,Not Recorded,,,,,
CH,0.71,Not Recorded,,,,,
CH,0.71,Not Recorded,,,,,
CH,0.7,Not Recorded,,,,,
CH,0.7,Not Recorded,,,,,
CH,0.694,Not Recorded,,,,,
CH,0.69,Not Recorded,,,,,
CH,0.64,Not Recorded,,,,,
CH,0.64,Not Recorded,,,,,
CH,0.63,Not Recorded,,,,,
CH,0.6,Not Recorded,,,,,
CH,0.6,Not Recorded,,,,,
CH,0.6,Not Recorded,,,,,
CH,0.6,Not Recorded,,,,,
CH,0.59,Not Recorded,,,,,
CH,0.59,Not Recorded,,,,,
CH,0.59,Not Recorded,,,,,
CH,0.58,Not Recorded,,,,,
CH,0.58,Not Recorded,,,,,
CH,0.58,Not Recorded,,,,,
CH,0.58,Not Recorded,,,,,
CH,0.56,Not Recorded,,,,,
FR,825,600,,,,,
PT,186,Not Recorded,,,,,
CH,0.55,Not Recorded,,,,,
CH,0.55,Not Recorded,,,,,
CH,0.55,Not Recorded,,,,,
CH,0.55,Not Recorded,,,,,
BE,0.540858921,Not Recorded,,,,,
CH,0.54,Not Recorded,,,,,
CH,0.52,Not Recorded,,,,,
CH,0.52,Not Recorded,,,,,
CH,0.51,Not Recorded,,,,,
PL,200,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
CH,0.5,Not Recorded,,,,,
UK,0.5,Not Recorded,,,,,
CH,0.48,Not Recorded,,,,,
CH,0.48,Not Recorded,,,,,
AT,200,Not Recorded,,,,,
CH,0.48,Not Recorded,,,,,
CH,0.47,Not Recorded,,,,,
CH,0.47,Not Recorded,,,,,
CH,0.46,Not Recorded,,,,,
CH,0.46,Not Recorded,,,,,
CH,0.45,Not Recorded,,,,,
CH,0.45,Not Recorded,,,,,
CH,0.45,Not Recorded,,,,,
CH,0.45,Not Recorded,,,,,
CH,0.45,Not Recorded,,,,,
CH,0.44,Not Recorded,,,,,
CH,0.44,Not Recorded,,,,,
CH,0.44,Not Recorded,,,,,
CH,0.42,Not Recorded,,,,,
CH,0.41,Not Recorded,,,,,
CH,0.4,Not Recorded,,,,,
CH,0.4,Not Recorded,,,,,
CH,0.4,Not Recorded,,,,,
CH,0.4,Not Recorded,,,,,
CH,0.4,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.38,Not Recorded,,,,,
CH,0.37,Not Recorded,,,,,
CH,0.36,Not Recorded,,,,,
CH,0.36,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
FR,222,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
CH,0.35,Not Recorded,,,,,
CH,0.34,Not Recorded,,,,,
CH,0.3355,Not Recorded,,,,,
CH,0.3333,Not Recorded,,,,,
CH,0.33,Not Recorded,,,,,
CH,0.33,Not Recorded,,,,,
ES,198,Not Recorded,,,,,
CH,0.33,Not Recorded,,,,,
CH,0.32,Not Recorded,,,,,
CH,0.32,Not Recorded,,,,,
CH,0.32,Not Recorded,,,,,
CH,0.32,Not Recorded,,,,,
CH,0.31,Not Recorded,,,,,
CH,0.31,Not Recorded,,,,,
CH,0.31,Not Recorded,,,,,
CH,0.31,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
AT,66,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.3,Not Recorded,,,,,
CH,0.28,Not Recorded,,,,,
BG,33,Not Recorded,,,,,
IT,10.6,Not Recorded,,,,,
SK,198,Not Recorded,,,,,
IT,8.6,Not Recorded,,,,,
IT,4.1,Not Recorded,,,,,
IT,41,Not Recorded,,,,,
IT,32,Not Recorded,,,,,
IT,22,Not Recorded,,,,,
IT,48,Not Recorded,,,,,
IT,25,Not Recorded,,,,,
IT,31,Not Recorded,,,,,
SE,3,Not Recorded,,,,,
SE,156,Not Recorded,,,,,
DE,66,Not Recorded,,,,,
DE,36.8,Not Recorded,,,,,
DE,22,Not Recorded,,,,,
DE,19,Not Recorded,,,,,
DE,19,Not Recorded,,,,,
DE,19,Not Recorded,,,,,
DE,8.5,Not Recorded,,,,,
DE,5,Not Recorded,,,,,
LV,884,Not Recorded,,,,,
PT,180,Not Recorded,,,,,
DE,5,Not Recorded,,,,,
DE,4.86,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
FI,192,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.8,Not Recorded,,,,,
DE,4.2,Not Recorded,,,,,
DE,4.14,Not Recorded,,,,,
DE,3.35,Not Recorded,,,,,
DE,3.05,Not Recorded,,,,,
DE,3.025,Not Recorded,,,,,
DE,3.025,Not Recorded,,,,,
DE,2.6,Not Recorded,,,,,
DE,2.6,Not Recorded,,,,,
DE,2.5,Not Recorded,,,,,
DE,2.4,Not Recorded,,,,,
DE,2.4,Not Recorded,,,,,
DE,1.9,Not Recorded,,,,,
DE,1.79,Not Recorded,,,,,
DE,1.732,Not Recorded,,,,,
DE,1.728,Not Recorded,,,,,
DE,1.728,Not Recorded,,,,,
DE,1.559,Not Recorded,,,,,
DE,1.5,Not Recorded,,,,,
DE,1.5,Not Recorded,,,,,
DE,1.45,Not Recorded,,,,,
DE,1.45,Not Recorded,,,,,
DE,1.45,Not Recorded,,,,,
DE,1.424,Not Recorded,,,,,
DE,1.42,Not Recorded,,,,,
DE,1.402,Not Recorded,,,,,
DE,1.4,Not Recorded,,,,,
DE,1.4,Not Recorded,,,,,
DE,1.3,Not Recorded,,,,,
DE,1.225,Not Recorded,,,,,
DE,1.2,Not Recorded,,,,,
DE,1.2,Not Recorded,,,,,
DE,1.155,Not Recorded,,,,,
DE,1.152,Not Recorded,,,,,
DE,1.12,Not Recorded,,,,,
DE,1.12,Not Recorded,,,,,
DE,1.1,Not Recorded,,,,,
DE,1.09,Not Recorded,,,,,
DE,1.09,Not Recorded,,,,,
DE,1.04,Not Recorded,,,,,
DE,1.033,Not Recorded,,,,,
DE,1,Not Recorded,,,,,
DE,1,Not Recorded,,,,,
DE,1,Not Recorded,,,,,
DE,1,Not Recorded,,,,,
DE,0.993,Not Recorded,,,,,
DE,0.98,Not Recorded,,,,,
DE,0.97,Not Recorded,,,,,
DE,0.9,Not Recorded,,,,,
DE,0.9,Not Recorded,,,,,
DE,0.9,Not Recorded,,,,,
DE,0.88,Not Recorded,,,,,
DE,0.88,Not Recorded,,,,,
DE,0.82,Not Recorded,,,,,
DE,0.8,Not Recorded,,,,,
FR,189.2,Not Recorded,,,,,
DE,0.8,Not Recorded,,,,,
DE,0.8,Not Recorded,,,,,
DE,0.779,Not Recorded,,,,,
DE,0.77,Not Recorded,,,,,
DE,0.757,Not Recorded,,,,,
DE,0.755,Not Recorded,,,,,
DE,0.75,Not Recorded,,,,,
DE,0.75,Not Recorded,,,,,
DE,0.72,Not Recorded,,,,,
DE,0.718,Not Recorded,,,,,
IT,212,Not Recorded,,,,,
DE,0.685,Not Recorded,,,,,
DE,0.672,Not Recorded,,,,,
DE,0.66,Not Recorded,,,,,
DE,0.655,Not Recorded,,,,,
DE,0.655,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.65,Not Recorded,,,,,
DE,0.646,Not Recorded,,,,,
DE,0.646,Not Recorded,,,,,
DE,0.64,Not Recorded,,,,,
DE,0.637,Not Recorded,,,,,
DE,0.63,Not Recorded,,,,,
DE,0.624,Not Recorded,,,,,
BG,864,772,,,,,
FR,187,Not Recorded,,,,,
DE,0.617,Not Recorded,,,,,
DE,0.605,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
AT,187,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
AT,157,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.6,Not Recorded,,,,,
DE,0.585,Not Recorded,,,,,
DE,0.585,Not Recorded,,,,,
DE,0.585,Not Recorded,,,,,
DE,0.58,Not Recorded,,,,,
DE,0.56,Not Recorded,,,,,
DE,0.56,Not Recorded,,,,,
PT,159,Not Recorded,,,,,
DE,0.55,Not Recorded,,,,,
DE,0.55,Not Recorded,,,,,
DE,0.53,Not Recorded,,,,,
DE,0.516,Not Recorded,,,,,
DE,0.511,Not Recorded,,,,,
DE,0.505,Not Recorded,,,,,
DE,0.504,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
SI,185,180,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.5,Not Recorded,,,,,
DE,0.496,Not Recorded,,,,,
CH,185,90,,,,,
DE,0.496,Not Recorded,,,,,
DE,0.495,Not Recorded,,,,,
DE,0.49,Not Recorded,,,,,
DE,0.49,Not Recorded,,,,,
DE,0.49,Not Recorded,,,,,
DE,0.485,Not Recorded,,,,,
DE,0.485,Not Recorded,,,,,
DE,0.482,Not Recorded,,,,,
DE,0.48,Not Recorded,,,,,
DE,0.48,Not Recorded,,,,,
CH,185,Not Recorded,,,,,
DE,0.48,Not Recorded,,,,,
DE,0.48,Not Recorded,,,,,
DE,0.48,Not Recorded,,,,,
DE,0.475,Not Recorded,,,,,
DE,0.47,Not Recorded,,,,,
DE,0.468,Not Recorded,,,,,
DE,0.465,Not Recorded,,,,,
DE,0.452,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
FR,183,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.45,Not Recorded,,,,,
DE,0.447,Not Recorded,,,,,
DE,0.44,Not Recorded,,,,,
DE,0.43,Not Recorded,,,,,
DE,0.42,Not Recorded,,,,,
DE,0.42,Not Recorded,,,,,
DE,0.42,Not Recorded,,,,,
DE,0.415,Not Recorded,,,,,
DE,0.413,Not Recorded,,,,,
DE,0.41,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
BA,181,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.4,Not Recorded,,,,,
DE,0.395,Not Recorded,,,,,
DE,0.39,Not Recorded,,,,,
DE,0.39,Not Recorded,,,,,
DE,0.39,Not Recorded,,,,,
DE,0.386,Not Recorded,,,,,
DE,0.385,Not Recorded,,,,,
SE,871,Not Recorded,,,,,
DE,0.372,Not Recorded,,,,,
DE,0.37,Not Recorded,,,,,
DE,0.37,Not Recorded,,,,,
DE,0.3697,Not Recorded,,,,,
DE,0.36,Not Recorded,,,,,
DE,0.36,Not Recorded,,,,,
DE,0.36,Not Recorded,,,,,
DE,0.36,Not Recorded,,,,,
DE,0.36,Not Recorded,,,,,
PT,140,Not Recorded,,,,,
DE,0.355,Not Recorded,,,,,
DE,0.355,Not Recorded,,,,,
DE,0.352,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
ES,180,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.35,Not Recorded,,,,,
DE,0.344,Not Recorded,,,,,
IT,180,Not Recorded,,,,,
DE,0.34,Not Recorded,,,,,
DE,0.334,Not Recorded,,,,,
DE,0.33,Not Recorded,,,,,
DE,0.33,Not Recorded,,,,,
DE,0.33,Not Recorded,,,,,
DE,0.33,Not Recorded,,,,,
DE,0.32,Not Recorded,,,,,
DE,0.32,Not Recorded,,,,,
DE,0.32,Not Recorded,,,,,
DE,0.32,Not Recorded,,,,,
FR,180,Not Recorded,,,,,
DE,0.32,Not Recorded,,,,,
DE,0.316,Not Recorded,,,,,
DE,0.314,Not Recorded,,,,,
DE,0.312,Not Recorded,,,,,
DE,0.305,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
SE,207,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
DE,0.3,Not Recorded,,,,,
